name,mean,std,amin,amax
FirstBlood,9707913.622222222,733031.9920953865,7182847,11186856
Flamingo,21850682.314136125,995783.5324583929,20178604,23386512
Flexacoin,33812638.515625,1499979.3802009623,31450019,40198131
Folgory Coin,12857455.213541666,109536.31346870777,12580909,13130570
FunFair,21094100.671875,277427.39384376584,20550484,21746073
Function X,13863197.421875,270158.45323882357,13113000,14424838
Fusion,11621459.515625,691182.160293239,10786289,13327782
GXChain,23807521.161458332,1152463.050290402,21982129,25533550
Gas,12059300.036458334,329873.2877894348,11569015,12548781
GateToken,32774854.984375,1539875.4870990482,30581586,35244580
Gemini Dollar,16842966.816753928,557197.1512131662,15376755,17161520
Gleec,16247974.82722513,2586439.61652341,9624030,19356235
Global Digital Content,15167409.790575916,1993989.854580047,10755355,17154295
Gnosis,51102011.255208336,2443539.435022887,44853308,57235512
Golem,75291031.55384615,2322373.2549059046,70168082,79626087
GreenPower,36115110.35602094,2612045.8105482273,33521398,48168042
Grin,13512707.015625,576672.4136884919,12682678,14372196
Groestlcoin,12810375.984375,170510.35200231374,12466054,13634774
HEX,4912795728.319372,589923909.1154324,3848565753,5750888286
HUSD,277384519.7263158,2169858.5640014047,273544975,280710874
Handshake ,28937878.578125,942551.5815898184,27293663,30885385
Harmony,27478599.6875,1434675.0689835544,25228583,30306082
Harvest Finance,25738330.335078534,1356422.9920597712,21733220,28144148
Hashgard,20699631.214659687,443007.8492802549,19969600,21500721
Haven Protocol,23736446.083333332,1044257.1862984642,21531677,25399061
Hedera Hashgraph,174654441.48421052,2816857.970839493,170752725,181977692
HedgeTrade,188736816.62105262,4126032.992444631,181130807,198760045
Helium,40756023.729166664,1504238.414514142,38166677,43619075
Hellenic Coin,33808301.47643979,1650053.6017330517,30109473,36052941
Helper Search Token,77697744.46596858,773583.8184817778,76148090,79217642
Hive,44559059.21875,1428294.9191750623,42043559,47209920
Holo,75702416.40104167,1130007.292972238,73600905,78764965
Homeros,316504664.36649215,4369078.693475438,306800045,326584869
Horizen,56631982.854166664,581356.3558344991,55433843,58052442
Huobi BTC,62616705.0,0.0,62616705,62616705
Huobi Pool Token,17877864.282722514,1016467.5842285507,16761399,19898261
Huobi Token,785092083.8736842,44311614.90351579,729856829,863962114
Hxro,40242718.796875,738150.3027977666,39041359,42272667
HyperCash,39998510.661458336,1360981.1746312028,37576878,42547313
Hyperion,36425330.223958336,816029.8050483112,34025709,38231848
ICON,184931308.52105263,4959940.292861378,177428625,196102889
IDEX,23983791.828125,907704.1920479637,22263061,25413420
INO COIN,531579208.4973822,5833378.398507794,517578235,544281770
IOST,70886420.734375,2954368.716790588,66398770,76567092
IOTA,684084225.2052631,17218320.85029784,659498723,716608215
IQeon,9453653.90425532,59454.13643814474,9324540,9613438
IRISnet,38542758.635416664,1899383.15294367,35915107,42539446
IZE,1394084201.198953,255421146.64201882,767412034,1748099729
Idea Chain Coin,123475989.9790576,14840343.228475349,92867045,154491127
Ignis,15855429.486910995,349793.2413360957,15162821,16521552
Injective Protocol,9769478.754491018,421710.07852056524,9108261,10525908
Insight Chain,416649779.7068063,4772465.398870642,410615531,424713481
Insights Network,9895978.565517241,163605.80532210573,9324214,10139385
Invictus Hyperion Fund,15506773.884816755,1096647.8657940151,13576732,18204460
IoTeX,70110699.765625,1402337.1265567318,67496423,73057687
JUST,45347163.354166664,3226222.851566268,41415860,52205449
Jewel,11195629.088541666,491647.4873722981,10479339,12732863
Joule,55188322.45026178,528173.1465985439,54020833,56255321
JustLiquidity,22407446.936507937,800243.287051996,21005226,24533019
KARMA,62326468.09090909,17013989.562631615,9102820,68864206
Karatgold Coin,11007367.770833334,1513084.3666824496,9691880,14359536
KardiaChain,21091077.37172775,1054209.7223064324,19341035,22707777
Kava.io,50249990.770833336,2626576.3794706697,45019528,54636554
Kcash,18346140.696335077,452734.1365851602,17641135,19328037
Keep Network,33765513.09947644,1461909.3593086642,31926666,36783938
Keep3rV1,38810823.692708336,4320638.229196562,30711901,45218805
Kin,33373868.911458332,1058794.7745584978,31106734,36284613
King DAG,11990267.895833334,189829.49952360708,11558535,12452724
Kleros,29286324.875,1275833.6116507987,27004234,31681074
Komodo,51940242.276041664,1351699.8214679158,48082419,54304528
KuCoin Shares,67776428.44791667,790835.3276669568,66555456,68981291
Kusama,253528284.1736842,9839271.890589807,235012262,273957678
Kyber Network,151006439.0526316,4599580.164026104,144555181,159313424
LATOKEN,12535832.067708334,93409.95666292899,11911676,12573502
LBRY Credits,9466064.723404255,205413.3113350859,9118947,9897212
LTO Network,14220669.203125,401849.6174161334,13611103,14842013
Lambda,11066554.213541666,594785.2013564762,10269483,12101282
Largo Coin,168684209.5549738,1482316.8773182451,166726063,173634759
Level01,13422706.484375,194384.1756202352,12958957,13993986
Levolution,12100067.484375,451446.2445527441,11239687,13218418
LinkEye,9488683.416666666,83672.66243700695,9387673,9621117
LiquidApps,9460919.174603175,317243.39029864635,9189127,10237523
Lisk,125288271.99473684,3520451.507863854,118244840,130836480
Litecoin,3546037300.5052633,77902867.21389757,3414839254,3719781849
Livepeer,33496186.010471202,1640797.979935026,31723468,36934867
Loki,20596016.099476438,324706.3200763789,19653668,21117942
Loom Network,15858202.439790577,572958.6488539681,14926747,16999164
Loopring,154509742.8,7871986.1663292805,144803535,173178712
MATH,55664212.91099476,1971869.7113073792,52267488,60237872
MCO,29822230.766839378,6079468.012983264,13799136,35942909
MINDOL,96480900.14136125,6279415.737031553,87076721,117384192
MVL,10626894.90625,173008.6434779056,10165251,11016333
MX Token,22075555.759162303,1413051.4641778022,20079641,24678054
MXC,19838460.465968587,1152004.991550195,17042173,22778815
MaidSafeCoin,45962124.177083336,2337980.9294748367,42199729,61071003
Mainframe,17425430.37172775,486488.87092275865,16793158,18466973
Maker,528664157.8368421,12100301.97794846,508517592,555244342
Massnet,19707385.329842933,1836975.202285651,17158804,21689367
Matic Network,57900251.567708336,2147169.4135628645,54255253,61769253
MediBloc,12262810.854166666,186791.16805732428,11842522,12586012
Melon,31547707.932291668,616777.8079154553,30115605,32742687
Meta,9509021.974358974,125943.33374964002,9232429,9710006
Metacoin,138040331.08900523,4429489.418154287,130935903,150011787
Metadium,9526189.198757764,184244.46151640863,9118618,9823408
Metal,18660658.884816755,460254.17356484634,18053181,20008523
Metaverse Dualchain Network Architecture,36035942.38219895,1966304.2704157261,32524083,40379256
Metaverse ETP,12023460.765625,298519.6819823944,11425187,12700650
MiL.k,12728553.338541666,656211.2006207362,11877080,13968281
MimbleWimbleCoin,56722663.61780105,557716.2891721036,55426574,58318062
Mixin,69483330.53926702,1043661.548008336,66982896,71160918
Mobilian Coin,54321818.37172775,4005527.965348149,49667837,79070764
Moeda Loyalty Points,10242602.822916666,314341.9122735151,9738598,11143899
Molecular Future,14649336.685863875,744980.3910409318,13452647,15924883
MonaCoin,81495673.88421053,1085397.1584710162,79431802,84103239
Monero,2139171911.7105262,51472698.561259456,2064629393,2271582415
Monolith,9760933.61445783,587114.4155696396,8775896,11347210
Morpheus.Network,10205247.041666666,299894.8830650426,9346496,11425582
MovieBloc,11048324.229166666,312879.28487667855,10451522,11546232
NEAR Protocol,105278658.84210527,4477411.444677655,97623917,113013923
NEM,889050335.7421052,12045341.305984236,850956290,909696252
NEST Protocol,65360477.53403141,4269833.264667846,56810694,74504069
NKN,10423260.9375,240368.489368827,9929351,10771401
NOIA Network,16209607.586387435,812970.8311549715,14701919,17941565
NULS,20603005.502617802,436757.4741750848,20001238,22333505
NXM,109715356.9,7034784.281723915,100895329,120574387
Nano,96587878.42105263,1917207.27192862,93801093,99977145
Nash Exchange,19709733.010471202,452548.7049756046,18545459,20547231
Native Utility Token,22509160.87894737,1259510.7534153038,19039076,23719154
Nebulas,14781993.005181348,594712.9954280003,13926909,15668703
Nectar,23815986.764397904,208507.16297155083,23209092,24163825
Neo,1058736093.9157895,27432326.857986975,1004550916,1110391284
NerveNetwork,24546646.17277487,1933460.454750069,20867117,29048259
Nervos Network,69588498.48421052,4724035.891037123,63659305,77629042
Neutrino USD,52016829.28272251,45894.44038332465,51880215,52122170
New Year Bull,14790313.20212766,163943.3035370345,14467713,15280000
NewYork Exchange,70562155.64921466,1571723.0163802404,68136160,74196241
Newscrypto,17189429.23036649,148753.90680441822,16878238,17653948
Nexalt,31809632.583333332,4380301.694190946,27682471,39817954
Nexo,96067033.62631579,3594332.035613689,90154857,100986804
Nexus,11472304.807291666,428207.4078061056,10876184,12705615
Nexxo,14846920.450261781,801283.5921802104,13418842,16754934
Nimiq,15128614.863874346,210173.89727720103,14769475,15575525
Numeraire,84291589.20526315,3515914.4123498388,80866484,101558824
Nxt,9051560.0,,9051560,9051560
OKB,259592006.4526316,8140703.782201909,247263318,274965534
OMG Network,417866248.04210526,13790006.310067428,397100314,444807847
ONOToken,23829003.410526317,14387777.346603744,15392441,88624757
Obyte,18687705.7486911,461293.9464067616,17604439,19663976
Ocean Protocol,192769658.35263157,9625675.767756563,173887109,211499598
Ontology,337315514.6421053,11395850.366104417,318758774,358481778
Orbit Chain,24181349.068181816,1878294.666809969,21376272,28986682
Orbs,26715756.286458332,356355.1173148469,25938406,27655281
Orchid,75723460.12105264,1835771.5505957133,72729554,80445277
Origin Protocol,17103810.109947644,887470.0256650446,15853093,18950825
OriginTrail,31875899.359375,1429836.8425135745,27407312,34885612
Orion Protocol,18045910.015706807,291223.4030233499,17407940,18923134
PARSIQ,15469595.256544502,374232.4426140181,14396564,16335872
PAX Gold,71355268.58333333,481772.1164134257,70768963,72673539
PIVX,16706854.209424084,1415971.943127718,15350276,21717498
PLATINCOIN,12010996.96875,300195.0891682864,11436236,12792990
PRIZM,18463470.32460733,630146.7054408462,17101684,19513623
PancakeSwap,14789996.963541666,1546137.0442245237,10856091,17133942
Paxos Standard,244944927.74210528,575375.7345554981,243732442,245973590
PeepCoin,12861221.706349207,113072.676592011,12630060,13120089
Perpetual Protocol,14191668.248704663,657791.1686820013,13522143,15433742
Phala.Network,13927575.03125,1165663.8884762733,12085653,15756929
